 
Wed Jan 6 13:44:57 2016 ... X:218.18 Y:13.13
Wed Jan 6 13:44:59 2016 ... X:216.30 Y:17.86
Wed Jan 6 13:45:00 2016 ... X:215.62 Y:18.88
Wed Jan 6 13:45:01 2016 ... X:214.61 Y:18.41
Wed Jan 6 13:45:02 2016 ... X:215.55 Y:17.01
Wed Jan 6 13:45:03 2016 ... X:217.33 Y:14.73
Wed Jan 6 13:45:05 2016 ... X:216.45 Y:14.49
Wed Jan 6 13:45:06 2016 ... X:215.10 Y:11.50
Wed Jan 6 13:45:07 2016 ... X:216.72 Y:8.74
Wed Jan 6 13:45:09 2016 ... X:218.44 Y:6.76
Wed Jan 6 13:45:10 2016 ... X:218.33 Y:3.28
Wed Jan 6 13:45:11 2016 ... X:215.57 Y:7.10
Wed Jan 6 13:45:12 2016 ... X:213.54 Y:4.87
Wed Jan 6 13:45:14 2016 ... X:208.79 Y:5.31
Wed Jan 6 13:45:15 2016 ... X:205.07 Y:4.76
Wed Jan 6 13:45:16 2016 ... X:204.04 Y:6.21
Wed Jan 6 13:45:17 2016 ... X:199.25 Y:7.01
Wed Jan 6 13:45:19 2016 ... X:197.81 Y:5.48
Wed Jan 6 13:45:20 2016 ... X:198.47 Y:8.17
Wed Jan 6 13:45:21 2016 ... X:196.72 Y:11.57
Wed Jan 6 13:45:22 2016 ... X:200.10 Y:9.72
Wed Jan 6 13:45:24 2016 ... X:198.25 Y:12.82
Wed Jan 6 13:45:25 2016 ... X:195.76 Y:8.43
Wed Jan 6 13:45:26 2016 ... X:194.52 Y:9.18
Wed Jan 6 13:45:27 2016 ... X:189.14 Y:9.01
Wed Jan 6 13:45:29 2016 ... X:194.42 Y:10.64
Wed Jan 6 13:45:30 2016 ... X:191.16 Y:5.65
Wed Jan 6 13:45:31 2016 ... X:192.87
Wed Jan 6 13:45:32 2016 ... X:186.53 Y:3.47
Wed Jan 6 13:45:34 2016 ... X:185.42 Y:7.66
Wed Jan 6 13:45:35 2016 ... X:188.03 Y:3.77
Wed Jan 6 13:45:36 2016 ... X:190.74
Wed Jan 6 13:45:37 2016 ... X:193.76 Y:3.67
Wed Jan 6 13:45:39 2016 ... X:195.66 Y:3.95
Wed Jan 6 13:45:40 2016 ... X:198.92 Y:3.69
Wed Jan 6 13:45:41 2016 ... X:195.72 Y:4.02
Wed Jan 6 13:45:42 2016 ... X:196.59 Y:4.03
Wed Jan 6 13:45:44 2016 ... X:201.82 Y:5.47
Wed Jan 6 13:45:45 2016 ... X:206.58 Y:12.18
Wed Jan 6 13:45:46 2016 ... X:205.90 Y:4.16
Wed Jan 6 13:45:47 2016 ... X:208.43 Y:3.32
Wed Jan 6 13:45:49 2016 ... X:206.23 Y:4.64
Wed Jan 6 13:45:50 2016 ... X:205.48 Y:5.60
Wed Jan 6 13:45:51 2016 ... X:208.09 Y:6.05
Wed Jan 6 13:45:53 2016 ... X:204.30
Wed Jan 6 13:45:54 2016 ... X:201.73
Wed Jan 6 13:45:55 2016 ... X:205.23
Wed Jan 6 13:45:56 2016 ... X:206.17
Wed Jan 6 13:45:58 2016 ... X:201.91
Wed Jan 6 13:45:59 2016 ... X:204.03 Y:5.47
